,filter,benchmark,noise_level,information_retention,jaccard,degree_assortativity,average_clustering,average_shortest_path_length,density,average_degree_connectivity,transitivity,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,filename,weighted
2787,,,0.4,1.000000011140649e-10,0.013888888888888888,,1.0,,0.9934270881763863,0.3,1.0,17,776,24,1183,0.4146341463414634,0.014166666666666666,0.0273972602739726,grid_graph600,True
2788,,,0.5,1.0000000127306482e-10,0.013888888888888888,,1.0,,0.9934242646886953,0.33499999999999996,1.0,17,1176,24,1183,0.4146341463414634,0.014166666666666666,0.0273972602739726,grid_graph600,True
2789,,,0.1,1.0000000091103406e-10,0.0,,,,,,,0,1,0,17,0.0,0.0,0.0,grid_graph600,True
2790,,,0.2,1.0000000091103406e-10,0.0,,,,,,,0,4,0,17,0.0,0.0,0.0,grid_graph600,True
2791,,,0.3,1.0000000091103406e-10,0.0,,,,,,,0,7,0,17,0.0,0.0,0.0,grid_graph600,True
2792,,,0.4,1.0000000091103406e-10,0.0,,,,,,,0,11,0,17,0.0,0.0,0.0,grid_graph600,True
2793,,,0.5,1.0000000091103406e-10,0.0,,,,,,,0,17,0,17,0.0,0.0,0.0,grid_graph600,True
2794,,,,0.9250000019194259,0.8633333333333333,,1.0,1.016899576146712,0.9992095080154783,0.9285070867649875,1.0,,,,,,,,grid_graph600,True
2795,,,0.1,0.710396042691903,0.7899474868717179,,1.0,,0.996980094354846,0.7615977809794586,1.0,1053,0,133,147,0.887858347386172,0.8775,0.8826487845766974,grid_graph600,True
2796,,,0.2,0.3265513756670982,0.6846666666666666,,1.0,,0.9960976500121415,0.7459430763232893,1.0,1027,0,300,173,0.7739261492087415,0.8558333333333333,0.812821527502968,grid_graph600,True
2797,,,0.3,0.3701657498567565,0.6223000583771162,,1.0,,0.9960288319726205,0.8346109517878713,1.0,1066,1,513,134,0.675110829639012,0.8883333333333333,0.7671824397265203,grid_graph600,True
2798,,,0.4,0.3758620744681246,0.5383054287163876,,1.0,,0.9960737208308522,0.9016827523510569,1.0,1061,29,771,139,0.5791484716157205,0.8841666666666667,0.6998680738786279,grid_graph600,True
2799,,,0.5,0.38299664002260414,0.46558704453441296,,1.0009519801186468,,0.9962659648015514,1.0506969081919648,1.0015085484411665,1035,177,1023,165,0.5029154518950437,0.8625,0.6353591160220995,grid_graph600,True
2800,,,0.1,0.6421319825515124,0.7401215805471124,,1.0,,0.9967833845271511,0.7530101355715381,1.0,961,0,116,84,0.8922934076137419,0.9196172248803828,0.9057492931196984,grid_graph600,True
2801,,,0.2,0.2510548541624379,0.6687200547570158,,1.0,,0.9960486554435926,0.7552395486019239,1.0,977,0,261,69,0.7891760904684976,0.9340344168260039,0.8555166374781086,grid_graph600,True
2802,,,0.3,0.22598870310773095,0.5826245443499393,,1.0,,0.9958649438850313,0.7847577549072566,1.0,959,0,446,83,0.6825622775800712,0.9203454894433781,0.7838169186759297,grid_graph600,True
2803,,,0.4,0.25676856234345313,0.5154584221748401,,1.0,,0.9958719633279903,0.8529078403434065,1.0,973,19,676,70,0.5900545785324439,0.9328859060402684,0.7228826151560178,grid_graph600,True
2804,,,0.5,0.27979712967850584,0.44569816643159377,,1.0010217499228489,,0.9960759934825569,0.9839199567570309,1.0017702596380802,961,122,939,100,0.5057894736842106,0.9057492931196984,0.6491050320837555,grid_graph600,True
2805,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,grid_graph600,True
2806,,,0.1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,133,0,0,1.0,1.0,1.0,grid_graph600,True
2807,,,0.2,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,300,0,0,1.0,1.0,1.0,grid_graph600,True
2808,,,0.3,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,514,0,0,1.0,1.0,1.0,grid_graph600,True
2809,,,0.4,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,800,0,0,1.0,1.0,1.0,grid_graph600,True
2810,,,0.5,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,1200,0,0,1.0,1.0,1.0,grid_graph600,True
2811,,,0.1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,133,0,0,1.0,1.0,1.0,grid_graph600,True
2812,,,0.2,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,300,0,0,1.0,1.0,1.0,grid_graph600,True
2813,,,0.3,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,514,0,0,1.0,1.0,1.0,grid_graph600,True
2814,,,0.4,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,800,0,0,1.0,1.0,1.0,grid_graph600,True
2815,,,0.5,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1200,1200,0,0,1.0,1.0,1.0,grid_graph600,True
2816,,,,0.27366864043670197,0.276448362720403,,1.0,3.150526466518305,0.9970501346393494,0.6751996140515032,1.0,,,,,,,,grid_graph700,True
2817,,,0.1,0.21046892149974453,0.2525891829689298,,1.0,,0.9960617629676652,0.6374150267085904,1.0,675,0,150,677,0.8181818181818182,0.4992603550295858,0.6201194304088194,grid_graph700,True
2818,,,0.2,0.03901996410451821,0.22805194805194806,,1.0,,0.9957673315014406,0.6339813459950782,1.0,675,1,337,677,0.6669960474308301,0.4992603550295858,0.5710659898477157,grid_graph700,True
2819,,,0.3,0.0454914708983972,0.20697784064120697,,1.0,,0.9956952196611308,0.6606053761053762,1.0,675,46,533,677,0.5587748344370861,0.4992603550295858,0.52734375,grid_graph700,True
2820,,,0.4,0.05769230846695754,0.19864253393665157,,1.0,,0.9956360275043165,0.6764361855699952,1.0,675,279,622,677,0.520431765612953,0.4992603550295858,0.5096262740656852,grid_graph700,True
2821,,,0.5,0.05671641856226341,0.1950244335850733,,1.0,,0.9955916204525028,0.6990167875012484,1.0,675,689,663,677,0.5044843049327354,0.4992603550295858,0.5018587360594795,grid_graph700,True
2822,,,0.1,0.22991347461718933,0.2639807576668671,,1.0,,0.9963901943696849,0.6459760489638501,1.0,675,0,75,0,0.9,1.0,0.9473684210526315,grid_graph700,True
2823,,,0.2,0.20594479938853913,0.25,,1.0,,0.9959998075232663,0.6350642386461226,1.0,675,0,168,0,0.800711743772242,1.0,0.8893280632411067,grid_graph700,True
2824,,,0.3,0.03571428609206978,0.23388385721896643,,1.0,,0.9958035796385198,0.624144796753477,1.0,675,0,289,0,0.700207468879668,1.0,0.823672971323978,grid_graph700,True
2825,,,0.4,0.0452218436363449,0.21604330708661418,,1.0,,0.9957300829344724,0.6378870318006999,1.0,675,6,444,0,0.6032171581769437,1.0,0.7525083612040134,grid_graph700,True
2826,,,0.5,0.04920634988936953,0.20295885344429035,,1.0,,0.9956756545383235,0.6634992858490312,1.0,675,100,575,0,0.54,1.0,0.7012987012987013,grid_graph700,True
2827,,,,0.29983792694149464,0.38488453463960814,,1.0,,0.9973889219842726,0.6714976167174134,1.0,,,,,,,,grid_graph700,True
2828,,,0.1,0.24473684336321677,0.3647214854111406,,1.0,,0.9965423828100467,0.6459828851807863,1.0,627,71,79,725,0.8881019830028328,0.46375739644970415,0.60932944606414,grid_graph700,True
2829,,,0.2,0.028384279799559806,0.33804548248309774,,1.0,,0.9960660313374313,0.6010855008858551,1.0,627,140,198,725,0.76,0.46375739644970415,0.5760220486908589,grid_graph700,True
2830,,,0.3,0.02961500526869209,0.31755196304849886,,1.0,,0.9959126533971788,0.6051607286057967,1.0,627,276,303,725,0.6741935483870968,0.46375739644970415,0.5495179666958808,grid_graph700,True
2831,,,0.4,0.04586330990083294,0.29023746701846964,,1.0,,0.9958679816551813,0.664698083821923,1.0,627,435,466,725,0.5736505032021958,0.46375739644970415,0.5128834355828221,grid_graph700,True
2832,,,0.5,0.0767946589132908,0.25918944392082943,,1.0,,0.9959391349407964,0.7855433709783249,1.0,627,659,693,725,0.475,0.46375739644970415,0.469311377245509,grid_graph700,True
2833,,,0.1,0.2523616747056094,0.32385261797026504,,1.0,,0.9966325999966803,0.6487672424868892,1.0,627,0,69,0,0.9008620689655172,1.0,0.9478458049886621,grid_graph700,True
2834,,,0.2,0.22663551519732686,0.30660954712362304,,1.0,,0.9962360738535809,0.6422798738884804,1.0,627,0,156,0,0.8007662835249042,1.0,0.8893617021276595,grid_graph700,True
2835,,,0.3,0.22474226921171978,0.2869415807560137,,1.0,,0.9960021621012827,0.6436992292599609,1.0,627,0,268,0,0.7005586592178771,1.0,0.823915900131406,grid_graph700,True
2836,,,0.4,0.044734390100633736,0.26424050632911394,,1.0013979496738117,,0.9959152667281505,0.6918916222716226,1.0020905923344947,627,0,418,0,0.6,1.0,0.75,grid_graph700,True
2837,,,0.5,0.06863596963227833,0.23800475059382423,,1.0016217781639154,,0.9959925824333093,0.7945810070583663,1.0028142589118199,627,0,627,0,0.5,1.0,0.6666666666666666,grid_graph700,True
2838,,,,0.4807692337710743,0.5,,1.0,,0.9970544918998528,0.794400871459695,1.0,,,,,,,,grid_graph700,True
2839,,,0.1,0.39476554232079325,0.5554733727810651,,1.0,,0.995886604593812,0.7945441988950276,1.0,751,150,0,601,1.0,0.5554733727810651,0.7142177841179268,grid_graph700,True
2840,,,0.2,0.3711433780484378,0.625,,1.0,,0.9954936713569842,0.7951711491442544,1.0,845,338,0,507,1.0,0.625,0.7692307692307693,grid_graph700,True
2841,,,0.3,0.3793663712192246,0.7049300956585725,,1.0,,0.9953761341360262,0.6833118279569892,1.0,958,572,7,394,0.9927461139896373,0.7085798816568047,0.8269313767803194,grid_graph700,True
2842,,,0.4,0.4076923103842753,0.7463002114164905,,1.0,,0.9954346979179722,0.6652311291170139,1.0,1059,834,67,293,0.9404973357015985,0.783284023668639,0.8547215496368039,grid_graph700,True
2843,,,0.5,0.3858209017110782,0.5199550309162451,,1.0,,0.9956071338404991,0.8855720748298228,1.0,925,925,427,427,0.6841715976331361,0.6841715976331361,0.6841715976331361,grid_graph700,True
2844,,,0.1,0.23114956891517183,0.27736686390532544,,1.0,,0.9952495890846953,0.8067494824016563,1.0,375,75,0,301,1.0,0.5547337278106509,0.7136060894386299,grid_graph700,True
2845,,,0.2,0.22375397815301157,0.3121301775147929,,1.0,,0.9950535096526515,0.8055873322597961,1.0,422,169,0,254,1.0,0.6242603550295858,0.7686703096539163,grid_graph700,True
2846,,,0.3,0.22650376089201285,0.35650887573964496,,1.0,,0.9949562817191127,0.8063796930887275,1.0,482,289,0,194,1.0,0.7130177514792899,0.8324697754749568,grid_graph700,True
