,filter,benchmark,noise_level,information_retention,jaccard,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_betweenness_original,average_betweenness_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
3970,local_degree_sparsifier,bench_structural_noise_filtering,0.5,0.1129138680113813,0.7535934291581109,13.555555555555555,13.555555555555555,0.358420972538415,0.2963055674844773,,,,,0.00157910906298,0.0008796722990271,0.1748934901096079,0.1458694720565814,0.1963597883597891,0.1628148148148148,0.1822796351228235,0.1516975367755952,0.1084444444444444,0.1084444444444444,0.6271843832580343,0.6380848917513774,202.2151675485009,238.9135802469136,45,44,734,6901,120,120,0.8594847775175644,0.8594847775175644,0.8594847775175644,0.1745743121887939,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3971,random_edge_sparsifier,bench_net2net_filtering,,0.0005121604383741,0.5002925687536571,27.126984126984127,13.571428571428571,0.5759076430286777,0.3052276461935643,1.948063492063492,,4.0,,0.0076456733230926,0.0102601126472094,0.5202290818631112,0.4236658913747585,0.5810899470899511,0.4725735449734979,0.0828713534518043,0.0926019292532849,0.217015873015873,0.1085714285714285,0.5216527100395694,0.2622841965471447,153.71403376165287,44.53061224489796,55,32,855,6166,0,854,1.0,0.5002925687536571,0.6669266770670826,0.3293090409394258,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3972,random_edge_sparsifier,bench_noise_filtering,0.1,0.0008281423524139,0.4799554565701559,27.126984126984127,15.063492063492063,0.5759076430286777,0.2639196944799324,1.948063492063492,2.1815873015873017,4.0,4.0,0.0076456733230926,0.0095289298515104,0.5202290818631112,0.4631401716770557,0.5810899470899511,0.510719576719532,0.0828713534518043,0.0305451144970248,0.217015873015873,0.1205079365079365,0.5216527100395694,0.2505069124423963,153.71403376165287,46.48803224993703,55,31,862,6079,87,847,0.9083245521601686,0.5043885313048566,0.6486079759217457,0.3443881162339586,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3973,random_edge_sparsifier,bench_noise_filtering,0.2,0.0041948897107789,0.4539267015706806,27.126984126984127,16.952380952380953,0.5759076430286777,0.2329272357948101,1.948063492063492,2.035047619047619,4.0,4.0,0.0076456733230926,0.0083471582181259,0.5202290818631112,0.4945353776866818,0.5810899470899511,0.5393756613756407,0.0828713534518043,0.0188281313260974,0.217015873015873,0.1356190476190476,0.5216527100395694,0.2290007513148009,153.71403376165287,46.47392290249434,55,35,867,5965,201,842,0.8117977528089888,0.5073142188414277,0.6244148361541232,0.3639291750388315,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3974,random_edge_sparsifier,bench_noise_filtering,0.3,0.0022671622749288,0.4181994191674734,27.126984126984127,19.38095238095238,0.5759076430286777,0.2136483222940477,1.948063492063492,1.9293968253968252,4.0,4.0,0.0076456733230926,0.007495135688684,0.5202290818631112,0.5203219900919057,0.5810899470899511,0.5634603174603124,0.0828713534518043,0.0429678696105967,0.217015873015873,0.155047619047619,0.5216527100395694,0.2224854875014808,153.71403376165287,45.71201814058957,55,38,864,5809,357,845,0.7076167076167076,0.5055588063194851,0.5897610921501707,0.3906851937748865,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3975,random_edge_sparsifier,bench_noise_filtering,0.4,0.0031109300897738,0.3801762114537445,27.126984126984127,22.603174603174605,0.5759076430286777,0.2174178946440415,1.948063492063492,1.847619047619048,4.0,3.0,0.0076456733230926,0.0068356374807987,0.5202290818631112,0.5423212179253645,0.5810899470899511,0.58567195767196,0.0828713534518043,0.0322001600577315,0.217015873015873,0.1808253968253968,0.5216527100395694,0.2215969989281886,153.71403376165287,44.84252960443436,55,39,863,5605,561,846,0.6060393258426966,0.5049736688121709,0.5509096712416215,0.4226897995772629,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3976,random_edge_sparsifier,bench_noise_filtering,0.5,0.0087397825342604,0.3237800154918667,27.126984126984127,27.126984126984127,0.5759076430286777,0.2384136601494821,1.948063492063492,1.7900952380952382,4.0,3.0,0.0076456733230926,0.0063717357910906,0.5202290818631112,0.5593400464719516,0.5810899470899511,0.6073227513227516,0.0828713534518043,0.0668424029865874,0.217015873015873,0.217015873015873,0.5216527100395694,0.2427188543350902,153.71403376165287,47.17435122197027,55,42,836,5293,873,873,0.489174956114687,0.489174956114687,0.489174956114687,0.4708654645589181,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3977,random_edge_sparsifier,bench_structural_noise_filtering,0.1,0.0022086741488824,0.4777777777777778,13.571428571428571,7.5396825396825395,0.3052276461935643,0.1252257792523898,,,,,0.0102601126472094,0.0133742959549411,0.4236658913747585,0.3618756007149274,0.4725735449734979,0.4024444444444063,0.0926019292532849,0.0595487076306706,0.1085714285714285,0.0603174603174603,0.2622841965471447,0.1129151291512915,44.53061224489796,15.216679264298314,32,18,430,6975,45,425,0.9052631578947368,0.5029239766081871,0.6466165413533834,0.2443001016834411,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3978,random_edge_sparsifier,bench_structural_noise_filtering,0.2,0.0074597896405456,0.4590336134453781,13.571428571428571,8.476190476190476,0.3052276461935643,0.1091492722445102,,2.563809523809524,,5.0,0.0102601126472094,0.0126113671274961,0.4236658913747585,0.3938165686218989,0.4725735449734979,0.434802116402065,0.0926019292532849,0.0678290460414992,0.1085714285714285,0.0678095238095238,0.2622841965471447,0.1050153531218014,44.53061224489796,14.170068027210885,32,18,437,6923,97,418,0.8183520599250936,0.5111111111111111,0.6292296616270698,0.2557280301351914,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3979,random_edge_sparsifier,bench_structural_noise_filtering,0.3,0.023920023590086,0.431640625,13.571428571428571,9.698412698412698,0.3052276461935643,0.1326164035426,,2.4525714285714284,,4.0,0.0102601126472094,0.0117142857142857,0.4236658913747585,0.4108067297503817,0.4725735449734979,0.4535555555555025,0.0926019292532849,0.0889412033385652,0.1085714285714285,0.0775873015873016,0.2622841965471447,0.1338028169014084,44.53061224489796,17.067775258251448,32,23,442,6851,169,413,0.723404255319149,0.5169590643274854,0.6030013642564802,0.2718543027151895,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
