filter,benchmark,noise_level,information_retention,jaccard,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_betweenness_original,average_betweenness_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
overlapping_trees,bench_noise_filtering,0.3,0.6816314517038152,0.5389830508474577,3.991111111111111,4.08,0.03385963595380077,0.00879947832615976,3.997834631071561,4.457940922012112,7.0,8.0,0.0033383459143335866,0.0038507137216170517,0.2535228158401166,0.22646792236959012,0.2671365008755674,0.24034692868717952,-0.08152934410221088,-0.06446430544764714,0.004439500679767643,0.004538375973303671,0.013324559960519823,0.0053976250449802084,28.588809876543205,12.135822222222222,79,54,1272,402190,564,524,0.6928104575163399,0.7082405345211581,0.7004405286343612,0.051859502351834744,barabasi_albert_graph900,False
overlapping_trees,bench_noise_filtering,0.4,0.5643510858785297,0.42731781762686,3.991111111111111,4.322222222222222,0.03385963595380077,0.008220130733971959,3.997834631071561,4.504026696329254,7.0,9.0,0.0033383459143335866,0.003902034182994715,0.2535228158401166,0.22409460537096088,0.2671365008755674,0.2382521653502419,-0.08152934410221088,-0.03269079797811803,0.004439500679767643,0.004807811148189347,0.013324559960519823,0.006096434509514133,28.588809876543205,9.698395061728394,79,48,1120,401929,825,676,0.5758354755784062,0.623608017817372,0.5987703822507351,0.06091219409887842,barabasi_albert_graph900,False
overlapping_trees,bench_noise_filtering,0.5,0.466697851105315,0.3678242381289865,3.991111111111111,4.586666666666667,0.03385963595380077,0.007677334781565946,3.997834631071561,4.4117735755778025,7.0,8.0,0.0033383459143335866,0.00379930242269243,0.2535228158401166,0.22824929709348862,0.2671365008755674,0.2425136865781401,-0.08152934410221088,-0.051147891700823254,0.004439500679767643,0.005101965146459029,0.013324559960519823,0.00558461129332506,28.588809876543205,8.618044444444445,79,40,1038,401728,1026,758,0.502906976744186,0.5779510022271714,0.5378238341968912,0.06640661180715995,barabasi_albert_graph900,False
overlapping_trees,bench_structural_noise_filtering,0.1,0.8305704936732811,0.8091286307053942,3.437777777777778,3.3555555555555556,0.018749297196345105,0.008412639070024208,4.623406253862316,4.928990236064763,9.0,10.0,0.004034973556639549,0.004375267523457419,0.21904637360697374,0.20542568159463626,0.23329021762448285,0.2193632431101393,-0.1232038477152679,-0.11592088345348248,0.0038240019775058706,0.003732542330985045,0.007572460614500827,0.004957585105210973,17.150572839506175,12.266913580246914,59,47,1367,402859,148,176,0.9023102310231023,0.8859364873622813,0.8940483976455199,0.02829999783819469,barabasi_albert_graph900,False
overlapping_trees,bench_structural_noise_filtering,0.2,0.7170813324654873,0.693058568329718,3.451111111111111,3.568888888888889,0.014362877642127521,0.009999699483920358,4.600734149054505,4.911160548757879,8.0,10.0,0.004009726223891431,0.00435541263781501,0.220051931566035,0.20576879264841896,0.23416043399264347,0.2197349955766064,-0.11634151634603242,-0.12365157863805401,0.003838833271536275,0.003969843035471512,0.006650115268664657,0.005463858850313034,16.603165432098766,10.354143209876543,59,44,1265,402699,321,265,0.7976040353089533,0.826797385620915,0.8119383825417201,0.03805946728874178,barabasi_albert_graph900,False
overlapping_trees,bench_structural_noise_filtering,0.3,0.639670895524144,0.5825575698187163,3.4466666666666668,3.7933333333333334,0.018702133653445394,0.008885069965771718,4.587912495365221,4.813449511803238,9.0,9.0,0.003995448213101581,0.004246603019825431,0.2209900385216653,0.20974494474811586,0.23500690361503612,0.22376901927141823,-0.11230638976884537,-0.09837420308675848,0.0038338895068594733,0.004219503151649981,0.007180214519989363,0.00435900301777132,16.636044444444448,9.286177777777779,55,39,1196,402499,514,341,0.6994152046783626,0.7781392322706572,0.7366800123190638,0.04597237648123698,barabasi_albert_graph900,False
overlapping_trees,bench_structural_noise_filtering,0.4,0.5896426248531771,0.4865103936311367,3.457777777777778,4.091111111111111,0.014052363657068658,0.005940793259076711,4.555100729205289,4.653021876158695,10.0,9.0,0.003958909498001436,0.004067953091490752,0.22297461027887588,0.21657371673016276,0.23704131869121003,0.23068758742392562,-0.09773713869413182,-0.09249626728563277,0.003846248918551477,0.004550735384995674,0.006846999154691462,0.0036998972250770813,17.790439506172838,8.976143209876541,59,37,1087,402291,725,447,0.5998896247240618,0.7086049543676662,0.6497310221159593,0.05382421481643379,barabasi_albert_graph900,False
overlapping_trees,bench_structural_noise_filtering,0.5,0.5246178081646948,0.37754303599374023,3.4044444444444446,4.366666666666666,0.01799100966995899,0.002962789561115398,4.670409096527005,4.610557409467309,9.0,8.0,0.004087315252257245,0.004020665266667381,0.2170038949510126,0.2181835292159784,0.2311001249680714,0.23232072084874425,-0.11271351209255806,-0.07757700621031284,0.0037869237424298604,0.00485724879495736,0.007893304300489928,0.0033821871476888386,16.307535802469136,6.98111111111111,56,33,967,402015,978,590,0.49717223650385606,0.6210661528580603,0.5522558537978298,0.06225681895673987,barabasi_albert_graph900,False
k_core_decomposition,bench_net2net_filtering,,1.0,1.0,3.991111111111111,3.991111111111111,0.03385963595380077,0.03385963595380077,3.997834631071561,3.997834631071561,7.0,7.0,0.0033383459143335866,0.0033383459143335866,0.2535228158401166,0.2535228158401166,0.2671365008755674,0.2671365008755674,-0.08152934410221088,-0.08152934410221088,0.004439500679767643,0.004439500679767643,0.013324559960519823,0.013324559960519823,28.588809876543205,28.588809876543205,79,79,1796,402754,0,0,1.0,1.0,1.0,0.0,barabasi_albert_graph900,False
k_core_decomposition,bench_noise_filtering,0.1,1.701729060301856e-05,0.5283208020050125,3.991111111111111,4.737240075614367,0.03385963595380077,0.02909802250619973,3.997834631071561,3.700342269576674,7.0,7.0,0.0033383459143335866,0.0051239891263314494,0.2535228158401166,0.27340737030721657,0.2671365008755674,0.29070663766987953,-0.08152934410221088,-0.039404898806088,0.004439500679767643,0.008972045597754483,0.013324559960519823,0.02118062365169641,28.588809876543205,20.851562137070694,79,57,1054,402555,199,742,0.8411811652035116,0.5868596881959911,0.6913742210560839,0.04822905017139619,barabasi_albert_graph900,False
