filter,benchmark,noise_level,information_retention,jaccard,degree_assortativity_original,degree_assortativity_filtered,average_clustering_original,average_clustering_filtered,average_shortest_path_length_original,average_shortest_path_length_filtered,density_original,density_filtered,average_degree_connectivity_original,average_degree_connectivity_filtered,transitivity_original,transitivity_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
overlapping_trees,bench_noise_filtering,0.5,3.825159999424376e-09,0.02974498734670041,0.00018571842163022962,-0.07399506643850626,0.10020900687459285,0.003607264957264957,1.900082082082082,4.100800800800801,0.09995795795795796,0.005943943943943944,100.76982053934101,6.397722006386027,0.10023308245168773,0.003464203233256351,1528,448130,1441,48401,0.5146513977770293,0.03060345690881051,0.05777156036145034,0.3158857131682023,random_graph1000,True
overlapping_trees,bench_net2net_filtering,,3.8251600061975085e-09,0.058823529411764705,0.00018571842163022962,-0.046708951444561185,0.10020900687459285,0.0045402597402597385,1.900082082082082,4.130812812812813,0.09995795795795796,0.005875875875875876,100.76982053934101,6.676296251979308,0.10023308245168773,0.004475107216110386,2943,449571,0,46986,1.0,0.058943700054076786,0.11132546527462552,0.3067019172846268,random_graph1000,True
overlapping_trees,bench_structural_noise_filtering,0.1,0.5880069809044589,0.6269993602047345,-0.07540406761972739,-0.05320047248595901,0.0038619047619047613,0.0024388888888888893,4.1342282282282286,5.005295295295295,0.005875875875875876,0.004332332332332332,6.429722006770285,5.003645051311227,0.004143906573742701,0.0025234318673395817,1967,496356,214,963,0.9018798716185236,0.6713310580204778,0.7697123850518489,0.0485423151112136,random_graph1000,True
overlapping_trees,bench_structural_noise_filtering,0.2,0.596022418109317,0.5342384887839433,-0.0736106062966245,-0.04540461486642556,0.004582467532467531,0.002485714285714287,4.129831831831832,4.865037037037037,0.005885885885885886,0.0045025025025025025,6.408059953771821,5.1744173822062915,0.004650297619047619,0.002635046113306983,1791,496112,448,1149,0.799910674408218,0.6091836734693877,0.6916393126086117,0.056543763557064336,random_graph1000,True
overlapping_trees,bench_structural_noise_filtering,0.3,0.7360832876123964,0.44953627932351337,-0.068069326896263,-0.04824593378739621,0.005209357309357306,0.005376118326118324,4.125157157157157,4.719765765765766,0.00587987987987988,0.004700700700700701,6.401045207007002,5.271142560989787,0.004827330115113257,0.005079681274900398,1633,495879,689,1299,0.7032730404823428,0.5569577080491133,0.6216216216216216,0.06308708251282492,random_graph1000,True
overlapping_trees,bench_structural_noise_filtering,0.4,0.842337378965928,0.3635437881873727,-0.09068512085148778,-0.07132243875869675,0.0038800144300144297,0.004023015873015874,4.135935935935936,4.604168168168168,0.005871871871871872,0.004884884884884885,6.460440804583306,5.49908929387477,0.003758927452700163,0.004392386530014641,1436,495586,980,1498,0.5943708609271523,0.4894342194955692,0.536822429906542,0.07043408948059854,random_graph1000,True
overlapping_trees,bench_structural_noise_filtering,0.5,0.8152284999190597,0.2970532319391635,-0.09174117826875673,-0.08883569728044323,0.004910317460317459,0.004860245310245311,4.132766766766767,4.485767767767768,0.005873873873873874,0.005089089089089089,6.490151172309512,5.671966096949253,0.004491858506457047,0.004029211785444472,1268,495326,1229,1677,0.5078093712454946,0.43056027164685906,0.4660051451672179,0.07627462105981135,random_graph1000,True
local_degree_sparsifier,bench_noise_filtering,0.1,0.00014497168049508214,0.4747085406144382,0.00018571842163022962,-0.01763909239855989,0.10020900687459285,0.08492721741353956,1.900082082082082,,0.09995795795795796,0.05553153153153153,100.76982053934101,81.01041391044397,0.10023308245168773,0.12055947967399087,25001,446834,2737,24928,0.9013266998341625,0.5007310380740652,0.6437998120179742,0.23534099809719808,random_graph1000,True
local_degree_sparsifier,bench_noise_filtering,0.2,0.10368676928083982,0.4453886305738158,0.00018571842163022962,-0.03354103319576955,0.10020900687459285,0.09210475742113959,1.900082082082082,,0.09995795795795796,0.06247247247247247,100.76982053934101,90.85577636485587,0.10023308245168773,0.1334838827248619,25001,443367,6204,24928,0.8011857074186829,0.5007310380740652,0.6162891019794414,0.2496524110164497,random_graph1000,True
local_degree_sparsifier,bench_noise_filtering,0.3,0.11247599406338185,0.41404262349248305,0.00018571842163022962,-0.03797544301773787,0.10020900687459285,0.10592317585489573,1.900082082082082,,0.09995795795795796,0.0713973973973974,100.76982053934101,103.78157682678587,0.10023308245168773,0.15163658850026462,25062,438970,10601,24867,0.7027451420239463,0.5019527729375713,0.5856154780820637,0.2664713999794481,random_graph1000,True
local_degree_sparsifier,bench_noise_filtering,0.4,1.7288072091615393e-05,0.3767089292965754,0.00018571842163022962,-0.04915972914267085,0.10020900687459285,0.1222245011664772,1.900082082082082,,0.09995795795795796,0.0832972972972973,100.76982053934101,120.17384043080425,0.10023308245168773,0.17518275683162204,25047,433011,16560,24882,0.6019900497512438,0.5016523463317911,0.5472600943890928,0.28803987044672646,random_graph1000,True
local_degree_sparsifier,bench_noise_filtering,0.5,4.7562211450742196e-09,0.33387654782736464,0.00018571842163022962,-0.03868019035982368,0.10020900687459285,0.1498383549801309,1.900082082082082,,0.09995795795795796,0.09995795795795796,100.76982053934101,144.15389187510021,0.10023308245168773,0.21096667319843232,24995,424637,24934,24934,0.5006108674317531,0.5006108674317531,0.5006108674317531,0.315968093066113,random_graph1000,True
local_degree_sparsifier,bench_net2net_filtering,,1.2751565438332525e-06,0.4999899857798073,0.00018571842163022962,-0.026383895735968225,0.10020900687459285,0.07526914261119944,1.900082082082082,,0.09995795795795796,0.049977977977977976,100.76982053934101,73.39252657119474,0.10023308245168773,0.10954176168563422,24964,449571,0,24965,1.0,0.4999899857798073,0.6666577650781782,0.2235620271423123,random_graph1000,True
local_degree_sparsifier,bench_structural_noise_filtering,0.1,0.0014406095452781903,0.5155134059243648,-0.026383895735968225,-0.06996360602034862,0.07526914261119944,0.06011459562306818,,,0.049977977977977976,0.027763763763763764,73.39252657119474,58.25927183184452,0.10954176168563422,0.12112195603125035,13209,473877,659,11755,0.9524805307182002,0.5291219355872456,0.6803152039555006,0.1576478761444405,random_graph1000,True
