filter,benchmark,noise_level,information_retention,jaccard,average_betweenness_original,average_betweenness_filtered,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
simmelian_sparsifier,bench_noise_filtering,0.4,0.0001094842805396,0.5433070866141733,0.0491596638655462,0.0316059757236227,4.333333333333333,6.555555555555555,0.0,0.238872225269284,2.6714285714285717,2.074603174603175,4.0,4.0,0.3890058562413764,0.4904433588267504,0.4542328042328032,0.5509259259259264,-0.6972329559272562,-0.196949308632151,0.1238095238095238,0.1873015873015873,0.0,0.1954285714285714,17.11111111111111,12.19135802469136,15,17,69,503,49,9,0.5847457627118644,0.8846153846153846,0.7040816326530612,0.3034196632775998,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_noise_filtering,0.5,2.0469850826454734e-05,0.4285714285714285,0.0491596638655462,0.0281512605042016,4.333333333333333,7.333333333333333,0.0,0.3124443004344964,2.6714285714285717,1.957142857142857,4.0,3.0,0.3890058562413764,0.5182565058220936,0.4542328042328032,0.5769841269841276,-0.6972329559272562,-0.118702762879637,0.1238095238095238,0.2095238095238095,0.0,0.2742081447963801,17.11111111111111,14.944444444444448,15,21,63,483,69,15,0.4772727272727273,0.8076923076923077,0.6,0.3651483716701107,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_structural_noise_filtering,0.1,0.4876204878418709,0.8690476190476191,0.049719887955182,0.0455648926237161,4.222222222222222,4.5,0.0,0.1755417422084088,2.6904761904761907,2.549206349206349,4.0,5.0,0.3852736399826063,0.4042934159223895,0.4505291005290995,0.4688359788359784,-0.7052456031640396,-0.5614571847914186,0.1206349206349206,0.1285714285714285,0.0,0.0450281425891182,15.895061728395063,13.86111111111111,14,15,73,546,8,3,0.9012345679012346,0.9605263157894736,0.929936305732484,0.1321374945286819,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_structural_noise_filtering,0.2,0.7303246773637938,0.7340425531914894,0.049719887955182,0.0435107376283846,4.222222222222222,4.833333333333333,0.0,0.2228757353757353,2.6904761904761907,2.4793650793650794,4.0,5.0,0.3852736399826063,0.4139354820079436,0.4505291005290995,0.4790476190476185,-0.7052456031640396,-0.3967459012308765,0.1206349206349206,0.1380952380952381,0.0,0.1215469613259668,15.895061728395063,11.638888888888893,14,14,69,536,18,7,0.7931034482758621,0.9078947368421052,0.8466257668711656,0.1992047682223989,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_structural_noise_filtering,0.3,0.5297326351366074,0.6509433962264151,0.049719887955182,0.0367413632119514,4.222222222222222,5.5,0.0,0.1921092796092796,2.6904761904761907,2.249206349206349,4.0,4.0,0.3852736399826063,0.4531792819671,0.4505291005290995,0.5148148148148148,-0.7052456031640396,-0.3386800452232907,0.1206349206349206,0.1571428571428571,0.0,0.1432973805855161,15.895061728395063,11.305555555555555,14,15,69,524,30,7,0.696969696969697,0.9078947368421052,0.7885714285714286,0.2423430599999899,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_structural_noise_filtering,0.4,7.034658982313088e-05,0.5447154471544715,0.049719887955182,0.0322595704948646,4.222222222222222,6.333333333333333,0.0,0.2219832636499303,2.6904761904761907,2.096825396825397,4.0,4.0,0.3852736399826063,0.4843587810079495,0.4505291005290995,0.5451058201058202,-0.7052456031640396,-0.2262430983954275,0.1206349206349206,0.1809523809523809,0.0,0.1821561338289963,15.895061728395063,11.055555555555554,14,15,67,507,47,9,0.5877192982456141,0.881578947368421,0.7052631578947368,0.2981423969999719,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
simmelian_sparsifier,bench_structural_noise_filtering,0.5,3.603404035331328e-05,0.4475524475524475,0.049719887955182,0.0282913165266106,4.222222222222222,7.277777777777778,0.0,0.3123558688187171,2.6904761904761907,1.9619047619047616,4.0,3.0,0.3852736399826063,0.5164352445109148,0.4505291005290995,0.5756613756613763,-0.7052456031640396,-0.1294990593549717,0.1206349206349206,0.2079365079365079,0.0,0.2712022367194781,15.895061728395063,13.92283950617284,14,19,64,487,67,12,0.4885496183206106,0.8421052631578947,0.6183574879227053,0.3541141417633944,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
overlapping_trees,bench_noise_filtering,0.1,0.0268839484151858,0.6785714285714286,0.0491596638655462,0.0525676937441643,4.333333333333333,3.5,0.0,0.1051346801346801,2.6714285714285717,2.787301587301587,4.0,6.0,0.3890058562413764,0.368419581880739,0.4542328042328032,0.428968253968252,-0.6972329559272562,-0.5343724364232971,0.1238095238095238,0.1,0.0,0.0297029702970297,17.11111111111111,8.083333333333334,15,12,57,546,6,21,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.2070196678027062,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
overlapping_trees,bench_noise_filtering,0.2,0.0438552575620354,0.5368421052631579,0.0491596638655462,0.0521475256769374,4.333333333333333,3.7777777777777777,0.0,0.1546083546083546,2.6714285714285717,2.773015873015873,4.0,6.0,0.3890058562413764,0.3717144375281426,0.4542328042328032,0.4344444444444424,-0.6972329559272562,-0.2982225148123766,0.1238095238095238,0.1079365079365079,0.0,0.0940438871473354,17.11111111111111,7.228395061728394,15,13,51,535,17,27,0.75,0.6538461538461539,0.6986301369863014,0.2642749890573639,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
overlapping_trees,bench_noise_filtering,0.3,0.0230365278062435,0.4622641509433962,0.0491596638655462,0.0442577030812324,4.333333333333333,4.277777777777778,0.0,0.0797578964245631,2.6714285714285717,2.5047619047619047,4.0,5.0,0.3890058562413764,0.4074413478728279,0.4542328042328032,0.4669047619047617,-0.6972329559272562,-0.1945850962983521,0.1238095238095238,0.1222222222222222,0.0,0.0594900849858356,17.11111111111111,5.5895061728395055,15,11,49,524,28,29,0.6363636363636364,0.6282051282051282,0.632258064516129,0.3007926037591191,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
overlapping_trees,bench_noise_filtering,0.4,0.024268474633499,0.3783783783783784,0.0491596638655462,0.0445845004668534,4.333333333333333,4.166666666666667,0.0,0.1310285393618727,2.6714285714285717,2.515873015873016,4.0,5.0,0.3890058562413764,0.4050434186092487,0.4542328042328032,0.4646560846560835,-0.6972329559272562,-0.2115128737832349,0.1238095238095238,0.119047619047619,0.0,0.0815709969788519,17.11111111111111,5.194444444444445,15,12,42,519,33,36,0.56,0.5384615384615384,0.5490196078431373,0.3309438162646486,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
overlapping_trees,bench_noise_filtering,0.5,0.0261444791788879,0.3865546218487395,0.0491596638655462,0.0386554621848739,4.333333333333333,4.833333333333333,0.0,0.1350970017636684,2.6714285714285717,2.3142857142857145,4.0,5.0,0.3890058562413764,0.4380775385195246,0.4542328042328032,0.4975396825396822,-0.6972329559272562,-0.3300451155940999,0.1238095238095238,0.1380952380952381,0.0,0.0976744186046511,17.11111111111111,5.361111111111111,15,10,46,511,41,32,0.5287356321839081,0.5897435897435898,0.5575757575757576,0.3404012571554574,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
overlapping_trees,bench_structural_noise_filtering,0.1,0.1766455527901983,0.75,0.0545751633986928,0.0608776844070961,3.5,3.111111111111111,0.0,0.030026455026455,2.855555555555556,3.06984126984127,6.0,6.0,0.3608854747194271,0.3333085233074597,0.4246296296296276,0.3993386243386215,-0.705425019985265,-0.6850332161000396,0.1,0.0888888888888888,0.0,0.0260869565217391,10.36111111111111,6.209876543209877,13,11,51,562,5,12,0.9107142857142856,0.8095238095238095,0.8571428571428571,0.164268460101527,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
overlapping_trees,bench_structural_noise_filtering,0.2,0.2787040411484257,0.7066666666666667,0.0577497665732959,0.057376283846872,3.5,3.611111111111111,0.0,0.1568897152230485,2.855555555555556,2.712698412698413,6.0,6.0,0.3608854747194271,0.3780361532684125,0.4246296296296276,0.4394444444444422,-0.705425019985265,-0.5368217054263564,0.1,0.1031746031746031,0.0,0.09375,10.36111111111111,8.348765432098766,13,13,53,555,12,10,0.8153846153846154,0.8412698412698413,0.828125,0.1868706368604627,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
